FECHA_CORTE,RUC,RAZON_SOCIAL,NOMBRE_COMERCIAL,VIA,DES_VIA,NUMERO,INTERIOR,OBS_DOMICILIO,ZONA,DES_ZONA,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,,TELEF1,TELEF2,TELEF3,TELEF4,,,E_MAIL,PAGINA_WEB,CLASE,TIPO_AGENCIA,DES_SERVICIO,MODALIDAD_AUTORIZADA,REP_LEGAL,NRO_CERTIFICADO,FECHA_EXPEDICION
20260515,20609481383,Qhaswa Inversiones Turisticas S.A.C.,QHASWA TRAVEL,Calle,LOS GIRASOLES J-11,,,,URB.,LA FLORIDA,80108,CUSCO,CUSCO,WANCHAQ,,974423662,,,,,,info@qhaswatravel.com,www.qhaswatravel.com,Operador de Turismo,Digital,,,Angela Katherine Mendieta Ticona,,
20260515,20601107946,"Agencia De Viajes ""Deep House Tour Operator E.I.R.L",DEEP HOUSE TOUR OPERATOR,Calle,CUESTA SANTA ANA,684,,,,,80101,CUSCO,CUSCO,CUSCO,,984730516,,,,,,edhusan@outlook.com,www.deephouseperu.com,Minorista,Presencial,,,Edith Huacac Santa Cruz,,
20260515,20604977615,TRAVERSE PERU TOURS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - TRAVERSE PERU TOURS E.I.R.L.,TRAVERSE PERU TOURS,PJ.,JOSE OLAYA H-16,,,,P.J.,CONSTRUCCIÓN CIVIL,80106,CUSCO,CUSCO,SANTIAGO,,947734399,,,,,,traverseperu@gmail.com,www.traverseperu.com,Operador de Turismo,"Digital, Presencial",,,John Nino Surco Alvarez,,
20260515,20609937981,Neotropic Peru Travel E.I.R.L.,NEOTROPIC PERU TRAVEL,VIA,URB. RAMIRO PRIALE F-18,,,,,,80106,CUSCO,CUSCO,SANTIAGO,,992860327,984002687,,,,,neotropicperu@gmail.com,www.neotropicperu.com,Operador de Turismo,Digital,,,Jose Luis Blas Livimoro,,
20260515,20605651900,MACHUPICCHU TOUR SERVICES SOCIEDAD ANÓNIMA CERRADA,MACHUPICCHU TOUR SERVICES,Calle,MARURI N°250 OFICINA 218,,,,,,80101,CUSCO,CUSCO,CUSCO,,973641015,963300363,,,,,info@machupicchutourservices.com,www.machupicchutourservices.com,Operador de Turismo,Digital,,,Ronald Emerson Valdeiglesias Romero,,
20260515,20563269015,INVERSIONES PIREMA S.A.C.,PERU TRIPS & TRAVEL,JR.,ALBERTO LINCH,1138,,,URB.,ELIO,150101,LIMA,LIMA,LIMA,,997573750,,,,,,welcome@perutripsandtravel.com,www.perutripsandtravel.com,Operador de Turismo,Digital,,,Yolanda Graciela Chavez Vasquez,,
20260515,20603239777,Ex Buena Linea S.R.L.,BUENA LINEA EXPEDICIONES,Calle,KAMISEA U1 LOTE 2,,,CENTRO POBLADO DE SANTA MARIA,URB.,SEGUNDA ETAPA,80904,CUSCO,LA CONVENCIÓN,MARANURA,,928459705,,,,,,jorgeantoniobejarperez@gmail.com,facebook.com/buena-linea-expediciones-2123881221178617,Operador de Turismo,"Digital, Presencial",Canotaje Turístico,Canotaje,Jorge Antonio Bejar Perez,,
20260515,20490255568,Inka´S Destination Sociedad Anonima Cerrada - Inka´S Destination S.A.C.,INKAS DESTINATION,Calle,APV. EL OLIVO A-6,,,,,,80106,CUSCO,CUSCO,SANTIAGO,,981719681,,,,,,info@inkasdestination.com,www.inkasdestination.com,Operador de Turismo,Presencial,,,Luis Armando Zarabia Cusihuallpa,,
20260515,20564241483,ANDEAN GREAT TREKS E.I.R.L.,ANDEAN GREAT TREKS,Calle,"MARQUEZ N°250, OF. 2  II NIVEL",250,,,,,80101,CUSCO,CUSCO,CUSCO,,984329747,981488207,,,,,info@andeangreattreks.com,www.andeangreattreks.com,Operador de Turismo,Digital,,,Yulisa Caballero Concha,,
20260515,20526999674,Eva Asociados Servicios Generales E.I.R.L,EVA TOURS,Calle,ALFREDO YEPEZ MIRANDA II ETAPA MAGISTERIO,b3,,,,,80101,CUSCO,CUSCO,CUSCO,,952717149,,,,,,jcasos@evatoursperu.com,www.evatoursperu.com,"Mayorista, Minorista",Presencial,,,Jose Antonio Casos Soto,,
20260515,10763719371,"HUAMAN FRANCIA, ANYEL MILENE",MONARCA TRAVEL,LT.,5,,,"MANZANA ""A""",,,150119,LIMA,LIMA,LURIN,,920736512,,,,,,gerencia.monarcatravel@gmail.com,monarcatravel3wixsite.com,Minorista,Digital,,,Anyel Milene Huaman Francia,,
20260515,20605791761,PERU ENJOY YOUR DREAMS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,PERU ENJOY YOUR DREAMS,VIA,.,,,,URB.,SAB JUDAS CHICO B-13,80108,CUSCO,CUSCO,WANCHAQ,,974307335,987879903,,,,,peruenjoyyourdreams@gmail.com,www.peruenjoyyourdreams.com,Operador de Turismo,Digital,,,Evelyn Rossana Carbajal Diaz,,
20260515,20534714719,Agencia Wily Tours S.A.C.,AGENCIA WILY TOURS S.A.C.,JR.,9 DE diciembre,209,,,,,50101,AYACUCHO,HUAMANGA,AYACUCHO,,66314075,,,,,,wily-tours@hotmail.com,www.wilytours.com,"Minorista, Operador de Turismo",Presencial,,,Wilfredo Del Pozo Pozo,,
20260515,20609699567,Pusharo Experiences Sociedad Anonima Cerrada,PUSHARO EXPERIENCES,VIA,"CARRETERA URUBAMBA-OLLANTAYTAMBO KM71, SECTOR CHAQHUAR",,,,,,81301,CUSCO,URUBAMBA,URUBAMBA,,915399557,941413404,,,,,admin@pusharoexperiences.com,www.pusharoexperiences.com,Operador de Turismo,Presencial,,,Fiorela Luna Camiña,,
20260515,20605406131,Easy Going Peru E.I.R.L.,EASY GOING PERU,VIA,URB. TTIO AV. COSTANERA X-1-14,,,,,,80108,CUSCO,CUSCO,WANCHAQ,,956704719,,,,,,info@easygoingperu.com,www.easygoingperu.com,Operador de Turismo,Presencial,,,Lizbeth Masias Molina,,
20260515,20609885808,CORPORACION NUNA TRAVELING E.I.R.L.,CORPORACIÓN NUNA TRAVELING EIRL,JR.,MAMEY,4023,,,,,150135,LIMA,LIMA,SAN MARTÍN DE PORRES,,928184116,,,,,,corporacionunatraveling22@gmail.com,,Operador de Turismo,Digital,,,Pablo Rodriguez Villanueva,,
20260515,20606255277,Cusco Andean Roads Empresa Individual De Responsabilidad Limitada,MACHUPICCHU LLAQTA TOURS,QTA.,LOS PINOS,C-5,,,,,80303,CUSCO,ANTA,CACHIMAYO,,996606515,926919599,,,,,machupicchullaqtatours@gmail.com,www.machupicchullaqtatours.com,Operador de Turismo,Digital,,,Maycoll Joel Castilla Tinco,,
20260515,20565296672,Grupo Caminos Del Peru E.I.R.L,GRUPO CAMINOS DEL PERU,PJ.,MANCO CCAPAC,M-3,,,,,80106,CUSCO,CUSCO,SANTIAGO,,984610644,,,,,,gerencia@machupicchuaventuras.com,www.machupicchuaventuras.com,Operador de Turismo,"Digital, Presencial",,,Marta Maria Aguilar Medina,,
20260515,20523183355,PERUVIAN WONDERS TRAVEL SOCIEDAD ANONIMA CERRADA,PERUVIAN WONDERS TRAVEL S.A.C.,Calle,ANGELICA PALMA,129,,,URB.,PANDO II ETAPA,150136,LIMA,LIMA,SAN MIGUEL,,958099512,,,,,,operaciones@peruvianwt.com,www.peruvianwt.com,Minorista,Digital,,,Mercedes Cristina Calderon Rubio,,
20260515,20519445698,Mountain Lodges Of Peru Travel Sociedad Anonima Cerrada,MOUNTAIN LODGES OF PERU TRAVEL,AV.,SOL,948,403,,,,80101,CUSCO,CUSCO,CUSCO,,,,,,,,ivanzeusmm@gmail.com,www.mountainlodgesofperu.com,Operador de Turismo,Presencial,,,Felipe Enrique Umbert Olazabal,,
20260515,20601841755,PERU ANDES EXPLORA E.I.R.L.,PERU ANDES EXPLORA,AV.,AGUSTIN GAMARRA,mza. A,LT.05,,,,80106,CUSCO,CUSCO,SANTIAGO,,984360291,,,,,,info@peruandesexplora.com,wwww.peruandesexplora.com,Operador de Turismo,Digital,,,Nayrut Peña Rozas,,
20260515,20601161312,South America Invesment S.A.C,SOUTH AMERICA INVESTMENT S.A.C,JR.,JOSÉ SANTOS CHOCANO G-5,,,,,,80108,CUSCO,CUSCO,WANCHAQ,,977777777,983112535,,,,,machupicchutravel@hotmail.com,,Operador de Turismo,Presencial,,,Edy Edward Cuellar Margholt,,
20260515,20133786229,TROPICANA TOURS S.R.L.,TROPICANA TOURS,AV.,CASIMIRO ULLOA,235,303,,URB.,SAN ANTONIO,150122,LIMA,LIMA,MIRAFLORES,,2407695,995050160,,,,,gabrielasanchez@viajestropicana.com,www.viajes-tropicana.com,Minorista,Digital,,,Gabriela Sanchez Aguirre,,
20260515,20603532776,EMBARCATE YA S.A.C.,EMBARCATE YA,JR.,CUSCO,410,,OFICINA P,,,150120,LIMA,LIMA,MAGDALENA DEL MAR,,918476041,954123161,991374962,,,,reservas2@embarcateya.pe,www.embarcateya.pe,Minorista,Digital,,,Shirley Gissela Moreira Ortega,,
20260515,20602678025,Uvita Tour E.I.R.L.,TRANSPORTE CRONUS,JR.,LOS OPALOS,2527,,APV JORGE BASADRE,,,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,,933679596,,,,,,transportecronus@gmail.com,,Operador de Turismo,Digital,,,Erick Brahan Carbajal Pajuelo,,
20260515,20534113715,HOLIDAY TRAVELS E.I.R.L.,HOLIDAY TRAVELS,JR.,BOLIVAR,143,,ESQUINA DE AV 28 DE JULIO CON BOLIVAR,,,150801,LIMA,HUAURA,HUACHO,,,,,,,,holiday_travels@hotmail.com,www.agholidaytravels.com,Minorista,Presencial,,,Jessica Patricia Espinoza Moncada,,
20260515,20609864479,ASOCIACION TURISTICA APU TARPUY - A.T.A.T.,APU TARPUY,PJ.,MERCEDES INDACOCHEA,A15,,,,,150801,LIMA,HUAURA,HUACHO,,922670117,,,,,,apu.tarpuy@gmail.com,,Operador de Turismo,Digital,,,Hugo Valentino Zerillo Alzamora,,
